,Data ora,Anno,Mese,Giorno,Ora,PDMM,PDMF
169,2021-01-08 01:00:00.835,2021,1,8,1,0.0008838163534314951,0.002198160667650948
170,2021-01-08 02:00:00.840,2021,1,8,2,0.0007946723507572549,0.0019764484989694326
171,2021-01-08 03:00:00.845,2021,1,8,3,0.0007542900371635136,0.0018760126866359504
172,2021-01-08 04:00:00.850,2021,1,8,4,0.0007494819867322517,0.0018640544700844603
173,2021-01-08 05:00:00.855,2021,1,8,5,0.0008110345293650855,0.0020171432624383014
174,2021-01-08 06:00:00.860,2021,1,8,6,0.0010063499887455476,0.002502916985596261
175,2021-01-08 07:00:00.865,2021,1,8,7,0.0012949907234722244,0.004481042187302124
176,2021-01-08 08:00:00.870,2021,1,8,8,0.0013854129220423964,0.004484466687009666
177,2021-01-08 09:00:00.875,2021,1,8,9,0.0014203965422909914,0.004597705763316636
178,2021-01-08 10:00:00.880,2021,1,8,10,0.001400031513372415,0.0045317858543044475
179,2021-01-08 11:00:00.885,2021,1,8,11,0.0014000541147060886,0.004531859012946416
180,2021-01-08 12:00:00.890,2021,1,8,12,0.0014465508932887071,0.004682365227584304
181,2021-01-08 13:00:00.895,2021,1,8,13,0.0014577931226813085,0.004718755391409627
182,2021-01-08 14:00:00.900,2021,1,8,14,0.00144904273382688,0.004690431108669275
183,2021-01-08 15:00:00.905,2021,1,8,15,0.0014169582000442922,0.004586576134728265
184,2021-01-08 16:00:00.910,2021,1,8,16,0.001440133561525222,0.004661592857083809
185,2021-01-08 17:00:00.915,2021,1,8,17,0.0016313248357102794,0.0052804631493183025
186,2021-01-08 18:00:00.920,2021,1,8,18,0.0018120877670627755,0.00586557776099772
187,2021-01-08 19:00:00.925,2021,1,8,19,0.0019638750759083897,0.006795575370718403
188,2021-01-08 20:00:00.930,2021,1,8,20,0.0019635278431053642,0.006794373844861137
189,2021-01-08 21:00:00.935,2021,1,8,21,0.0018402291450255624,0.006367724713156472
190,2021-01-08 22:00:00.940,2021,1,8,22,0.0015913051087074793,0.005506375602342722
191,2021-01-08 23:00:00.945,2021,1,8,23,0.001296097882585488,0.0032235558618750157
192,2021-01-09 00:00:00.950,2021,1,9,0,0.0010486072845780176,0.002608016110838263
193,2021-01-09 01:00:00.955,2021,1,9,1,0.0008838163534314951,0.002198160667650948
194,2021-01-09 02:00:00.960,2021,1,9,2,0.0007946723507572549,0.0019764484989694326
195,2021-01-09 03:00:00.965,2021,1,9,3,0.0007542900371635136,0.0018760126866359504
196,2021-01-09 04:00:00.970,2021,1,9,4,0.0007494819867322517,0.0018640544700844603
197,2021-01-09 05:00:00.975,2021,1,9,5,0.0008110345293650855,0.0020171432624383014
198,2021-01-09 06:00:00.980,2021,1,9,6,0.0010063499887455476,0.002502916985596261
